"","date","site","site_name","variable","value"
"323",2016-01-24 10:00:00,"chbo","Chilbolton Observatory","nox",19.48455
"324",2016-01-24 11:00:00,"chbo","Chilbolton Observatory","nox",19.62225
"325",2016-01-24 12:00:00,"chbo","Chilbolton Observatory","nox",18.52065
"326",2016-01-24 13:00:00,"chbo","Chilbolton Observatory","nox",20.03535
"327",2016-01-24 14:00:00,"chbo","Chilbolton Observatory","nox",21.96315
"328",2016-01-24 15:00:00,"chbo","Chilbolton Observatory","nox",26.9892
"329",2016-01-24 16:00:00,"chbo","Chilbolton Observatory","nox",25.26795
"330",2016-01-24 17:00:00,"chbo","Chilbolton Observatory","nox",24.0975
"331",2016-01-24 18:00:00,"chbo","Chilbolton Observatory","nox",23.20245
"332",2016-01-24 19:00:00,"chbo","Chilbolton Observatory","nox",31.18905
"333",2016-01-24 20:00:00,"chbo","Chilbolton Observatory","nox",35.04465
"334",2016-01-24 21:00:00,"chbo","Chilbolton Observatory","nox",33.39225
"335",2016-01-24 22:00:00,"chbo","Chilbolton Observatory","nox",31.9464
"336",NA,"chbo","Chilbolton Observatory","nox",19.278
"337",2016-01-25 00:00:00,"chbo","Chilbolton Observatory","nox",23.9598
"338",2016-01-25 01:00:00,"chbo","Chilbolton Observatory","nox",21.3435
"339",2016-01-25 02:00:00,"chbo","Chilbolton Observatory","nox",25.8876
"340",2016-01-25 03:00:00,"chbo","Chilbolton Observatory","nox",21.0681
"341",2016-01-25 04:00:00,"chbo","Chilbolton Observatory","nox",29.12355
"342",2016-01-25 05:00:00,"chbo","Chilbolton Observatory","nox",33.5988
"343",2016-01-25 06:00:00,"chbo","Chilbolton Observatory","nox",34.21845
"344",2016-01-25 07:00:00,"chbo","Chilbolton Observatory","nox",31.18905
"345",2016-01-25 08:00:00,"chbo","Chilbolton Observatory","nox",36.83475
"346",2016-01-25 09:00:00,"chbo","Chilbolton Observatory","nox",41.5854
"347",2016-01-25 10:00:00,"chbo","Chilbolton Observatory","nox",24.6483
"348",2016-01-25 11:00:00,"chbo","Chilbolton Observatory","nox",18.0387
"349",2016-01-25 12:00:00,"chbo","Chilbolton Observatory","nox",17.55675
"350",2016-01-25 13:00:00,"chbo","Chilbolton Observatory","nox",13.3569
"351",2016-01-25 14:00:00,"chbo","Chilbolton Observatory","nox",12.32415
"352",2016-01-25 15:00:00,"chbo","Chilbolton Observatory","nox",7.36695
"353",2016-01-25 16:00:00,"chbo","Chilbolton Observatory","nox",7.2981
"354",2016-01-25 17:00:00,"chbo","Chilbolton Observatory","nox",10.53405
"355",2016-01-25 18:00:00,"chbo","Chilbolton Observatory","nox",16.31745
"356",2016-01-25 19:00:00,"chbo","Chilbolton Observatory","nox",15.49125
"357",2016-01-25 20:00:00,"chbo","Chilbolton Observatory","nox",18.93375
